pobreza_ing,anios_educ,edad,es_mujer,es_rural,es_informal,horas_trabajo,fexp
0,6,56,1,0,1,24.0,420.03
0,3,46,1,1,0,43.0,71.59
0,10,32,1,0,1,32.0,396.17
0,5,60,1,0,1,7.0,254.54
1,3,25,0,0,1,43.0,297.58
1,1,38,1,0,0,38.0,171.04
0,7,56,0,0,0,54.0,436.68
0,7,36,0,0,1,42.0,162.74
1,5,40,0,1,0,20.0,285.55
1,2,28,0,0,1,11.0,447.37
0,6,28,1,0,1,29.0,402.44
0,5,41,1,0,0,30.0,264.53
0,8,53,1,0,0,49.0,446.15
0,7,57,0,0,0,38.0,330.55
0,5,41,1,0,0,52.0,133.48
0,4,20,0,0,0,22.0,212.24
0,15,39,1,0,0,50.0,183.8
0,6,19,1,0,0,47.0,187.61
0,8,41,1,0,0,14.0,354.18
0,3,61,0,1,0,54.0,283.71
0,6,47,0,1,0,39.0,65.24
0,1,55,1,0,1,43.0,400.98
0,6,19,0,0,0,28.0,168.72
0,12,38,1,0,1,53.0,448.83
0,5,50,0,0,1,24.0,431.68
0,1,29,0,0,0,48.0,426.21
1,1,39,1,0,1,48.0,374.45
0,5,61,0,0,1,26.0,138.25
0,3,42,1,1,0,62.0,263.05
0,1,44,0,0,1,41.0,139.72
0,9,59,1,0,1,46.0,153.87
0,6,45,0,0,0,20.0,294.38
1,5,33,1,1,1,63.0,66.33
0,11,32,0,1,1,23.0,437.78
0,3,64,0,0,1,50.0,417.47
1,12,61,0,1,1,26.0,202.31
0,5,20,0,0,0,31.0,256.17
0,10,54,0,1,0,47.0,236.45
0,7,24,1,1,1,50.0,402.88
0,9,38,1,0,0,23.0,325.44
0,14,26,1,1,0,51.0,161.24
0,5,56,0,0,1,51.0,228.74
0,12,35,1,0,0,27.0,221.59
0,5,21,0,0,0,57.0,433.73
0,5,42,0,1,0,21.0,120.12
0,5,31,1,0,1,31.0,85.83
0,6,26,1,0,1,44.0,402.25
0,3,43,1,1,1,28.0,408.67
0,7,19,1,0,1,41.0,398.7
0,6,37,1,0,0,41.0,254.39
1,9,45,1,0,1,36.0,313.9
0,10,64,0,0,0,48.0,275.35
0,6,24,0,0,1,35.0,77.78
0,5,61,1,0,1,41.0,288.33
1,4,25,1,1,0,52.0,55.45
1,4,64,1,1,1,47.0,179.99
0,2,52,0,0,0,47.0,422.92
0,5,31,0,0,1,24.0,171.62
0,4,34,1,0,1,44.0,425.93
0,12,53,1,0,0,27.0,150.05
0,7,57,0,0,0,23.0,175.82
1,5,21,0,0,1,37.0,301.36
1,7,19,1,1,1,27.0,354.65
0,3,23,0,0,0,47.0,250.56
0,6,59,1,0,0,48.0,402.85
1,7,21,1,1,0,15.0,66.1
1,6,46,0,1,1,28.0,418.88
1,6,35,0,0,0,20.0,128.52
1,16,43,1,1,1,32.0,403.7
1,10,61,0,0,1,43.0,210.35
1,7,51,1,1,0,35.0,383.1
0,7,27,0,0,1,31.0,318.67
0,7,53,1,1,1,54.0,120.38
1,4,31,0,1,1,10.0,417.22
0,5,48,0,1,1,53.0,148.21
1,1,32,1,1,0,31.0,147.66
0,6,25,0,0,0,37.0,375.67
0,6,31,0,0,1,32.0,92.35
0,4,40,0,0,1,57.0,138.81
1,12,57,1,1,0,23.0,251.47
0,11,38,0,1,0,38.0,382.19
0,8,33,0,0,1,44.0,108.99
0,6,62,1,1,0,19.0,269.07
0,10,35,0,1,0,27.0,334.5
1,3,64,1,1,1,36.0,394.24
1,9,41,1,1,1,27.0,424.23
1,3,43,0,0,1,28.0,363.86
1,9,42,0,0,0,34.0,311.13
0,4,62,0,0,1,46.0,223.45
0,10,58,1,0,1,34.0,94.84
0,11,46,0,0,1,51.0,333.89
0,3,32,1,1,0,26.0,447.09
1,6,62,1,1,1,23.0,344.7
0,14,18,1,0,0,61.0,56.68
0,6,42,0,0,0,30.0,248.5
0,10,24,0,0,1,22.0,295.86
0,7,26,0,0,1,17.0,325.87
0,5,41,0,0,1,51.0,337.89
1,5,18,1,0,0,34.0,273.24
0,4,61,0,0,1,35.0,139.34
1,9,25,1,0,1,36.0,426.88
1,5,41,1,0,1,50.0,328.67
0,6,28,1,1,1,36.0,144.74
0,6,34,0,0,0,66.0,178.93
0,7,25,1,0,0,40.0,418.77
0,10,52,0,0,0,51.0,404.99
0,14,52,1,1,1,48.0,212.06
1,6,50,1,0,1,38.0,65.32
0,9,22,0,0,0,31.0,69.4
0,9,59,1,1,1,42.0,163.57
0,7,56,0,0,0,44.0,301.65
0,12,58,0,1,1,31.0,283.68
0,4,45,1,0,1,40.0,303.53
0,3,24,0,0,0,53.0,336.91
0,10,26,0,0,0,63.0,57.61
0,6,25,1,0,0,48.0,92.03
0,10,29,0,0,1,60.0,193.79
0,10,51,1,0,1,30.0,111.94
0,2,50,0,0,0,46.0,80.13
0,10,40,0,0,0,54.0,306.39
0,6,41,0,0,0,27.0,376.13
0,6,54,1,1,1,32.0,351.05
0,7,52,1,0,0,59.0,376.82
0,11,61,0,0,0,26.0,316.34
0,0,57,1,0,0,22.0,344.14
0,6,39,0,1,0,56.0,158.71
0,8,44,0,0,1,52.0,447.2
0,8,52,1,0,0,43.0,123.27
0,8,18,1,0,0,37.0,135.8
0,3,52,0,0,0,33.0,165.57
0,5,54,0,1,0,41.0,440.13
0,5,64,1,1,0,57.0,445.32
0,9,31,1,0,0,41.0,367.96
0,4,20,1,0,1,64.0,301.62
1,4,18,0,1,1,27.0,258.03
0,12,22,1,0,1,38.0,438.25
1,0,43,0,1,1,34.0,328.25
0,17,31,1,1,1,25.0,427.89
0,8,56,0,0,1,36.0,176.62
0,9,44,1,1,1,43.0,183.51
0,5,26,0,0,1,44.0,391.89
0,0,32,1,1,1,64.0,109.94
0,8,32,0,0,1,44.0,428.37
0,10,43,1,0,0,52.0,252.99
0,8,59,0,0,0,39.0,420.57
1,3,30,0,1,1,58.0,184.72
0,9,49,1,0,0,67.0,336.38
0,9,56,0,0,0,44.0,243.15
0,8,49,0,0,1,26.0,300.72
0,9,21,1,0,0,31.0,251.75
0,10,47,1,0,0,41.0,436.85
0,7,54,1,0,0,43.0,326.84
1,2,40,0,0,1,46.0,150.53
0,6,56,0,0,0,44.0,413.87
1,2,62,1,0,1,38.0,167.61
0,6,32,1,0,0,30.0,198.64
0,6,60,0,0,0,43.0,90.85
1,2,46,0,1,1,60.0,409.99
0,5,53,0,0,0,50.0,164.44
1,3,30,0,1,1,44.0,153.57
0,9,49,0,1,0,50.0,418.11
0,11,24,1,0,0,34.0,372.21
1,2,39,0,1,1,32.0,106.43
0,12,45,1,1,0,29.0,357.73
1,6,19,1,0,1,36.0,415.21
1,5,59,1,0,1,33.0,81.4
0,2,62,0,1,0,52.0,380.09
1,6,23,0,0,1,32.0,268.97
0,9,45,1,1,0,28.0,317.68
1,8,45,1,0,1,61.0,247.14
0,2,61,1,1,1,33.0,329.12
0,2,61,0,0,0,40.0,63.64
0,6,37,1,0,1,43.0,355.08
0,5,47,0,0,0,24.0,63.34
0,4,28,1,0,0,53.0,232.12
